id,name,conference_name
1,East,Sun Belt Conference
2,West,Sun Belt Conference
3,Mountain,Mountain West Conference
4,West,Mountain West Conference
5,Atlantic,Atlantic Coast Conference
6,Coastal,Atlantic Coast Conference
7,East,Big Ten Conference
8,West,Big Ten Conference
9,East,Mid-American Conference
10,West,Mid-American Conference
11,East,Southeastern Conference
12,West,Southeastern Conference
